,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
0,❤️, ,[],❤,0.7460869565217392,neu,siya.ram6459, ,0
1,You and Khloé have cool outfits love it😍😍,khlo cool outfit love,"['khlo', 'cool', 'outfit', 'love']",😍😍,0.7312455941709912,pos,famors_fail, ,0
2,You look really good but,look realli good,"['look', 'realli', 'good']", ,0.4404,pos,fox_fire_1122, ,0
3,@megmarotta78  vibes,vibe,['vibe'], ,0.0,neu,sunny7893,megmarotta78 ,0
4,Wassup,wassup,['wassup'], ,0.0,neu,too_short44, ,0
5,Te envío un besote,te envo un besot,"['te', 'envo', 'un', 'besot']", ,0.0,neu,moisesgarcia395, ,0
6,😍😍😍😍😍😍😍, ,[],😍😍😍😍😍😍😍,0.6779367825129736,neu,martinanguiano6974, ,0
7,Hermosa mi reina,hermosa mi reina,"['hermosa', 'mi', 'reina']", ,0.0,neu,martinanguiano6974, ,0
8,Boo 👻 💕 💗 @kourtneykardash,boo,['boo'],👻💕💗,0.38103760822510824,neu,diddy_love_kim,kourtneykardash ,0
9,❤️, ,[],❤,0.7460869565217392,neu,sadamdayar, ,0
10,To sexy I won't you,sexi wo not,"['sexi', 'wo', 'not']", ,0.0,neu,boucerbobby, ,0
11,Zdctbhjmoy,zdctbhjmoy,['zdctbhjmoy'], ,0.0,neu,ayenew362, ,0
12,👏👏👏👏ytr5y7hyrplw,ytryhyrplw,['ytryhyrplw'],👏👏👏👏,0.41643835616438357,neu,ayenew362, ,0
13,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥, ,[],🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0.13978494623655907,neu,miguelcruz9471, ,0
14,Hi,hi,['hi'], ,0.0,neu,joycemhizqueengmail.com3, ,0
15,Chut deghi xxx ho tum,chut deghi xxx ho tum,"['chut', 'deghi', 'xxx', 'ho', 'tum']", ,0.0,neu,farmankigh, ,1
16,انتي فتاه احلام عيري الجميل, ,[], ,0.0,neu,d.8th_, ,0
17,KILL OR AGREE T@@ B KILLED,kill agre b kill,"['kill', 'agre', 'b', 'kill']", ,-0.886,neg,wyketah,@ ,0
18,U aLways so sexy without trying to be sexy @kourtneykardash,u alway sexi without tri sexi,"['u', 'alway', 'sexi', 'without', 'tri', 'sexi']", ,0.0,neu,ahmad.diyacombs,kourtneykardash ,0
19,😂😮😍😢👏🔥🙌❤️, ,[],😂😮😍😢👏🔥🙌❤,0.3937754182815453,neu,toliazhelizniak, ,0
20,❤️❤️❤️❤️❤️❤️❤️❤️❤️ Enter,enter,['enter'],❤❤❤❤❤❤❤❤❤,0.6714782608695653,neu,hmdmhmdkhdrybwzyd, ,1
21,❤️❤️❤️🔥🔥🔥киласс, ,[],❤❤❤🔥🔥🔥,0.4429359513791491,neu,abdunabirakhimv, ,1
22,Oi,oi,['oi'], ,0.0,neu,benficaalemao, ,0
23,❤️, ,[],❤,0.7460869565217392,neu,akinbowale787, ,0
24,❤️❤️❤️, ,[],❤❤❤,0.7460869565217392,neu,abdulahman934, ,0
25,Looking sexie in pinky,look sexi pinki,"['look', 'sexi', 'pinki']", ,0.0,neu,edward.proctor.351, ,1
26,Hy,hy,['hy'], ,0.0,neu,malhobo, ,1
27,Hy,hy,['hy'], ,0.0,neu,malhobo, ,0
28,Mmokmopmk,mmokmopmk,['mmokmopmk'], ,0.0,neu,davi2021fontes, ,0
29,Bnj je,bnj je,"['bnj', 'je']", ,0.0,neu,mohamedkneni4, ,0
30,جميل احمد من 🇪🇬❤️, ,[],❤,0.7460869565217392,neu,bwsbry8328, ,0
31,❤️❤️toda una princesa dios te bendiga y feliz fin año,toda una princesa dio te bendiga feliz fin ao,"['toda', 'una', 'princesa', 'dio', 'te', 'bendiga', 'feliz', 'fin', 'ao']",❤❤,0.1356521739130435,neu,mederosnovo, ,0
32,😂😂😂😂😂😂😂, ,[],😂😂😂😂😂😂😂,0.22096840377513333,neu,yoyoyoyo12010000, ,1
33,Hi,hi,['hi'], ,0.0,neu,qaboopkan, ,0
34,🐷🐷🐷🐷🐷🐷🐷🐷🐷🐷, ,[],🐷🐷🐷🐷🐷🐷🐷🐷🐷🐷,0.375,neu,irinamelinova, ,0
35,Slks,slk,['slk'], ,0.0,neu,hamadhamad5083, ,0
36,Aj,aj,['aj'], ,0.0,neu,atishjoyare, ,0
37,GOOD LUCK👏👏👏👏👏👏,good luck,"['good', 'luck']",👏👏👏👏👏👏,0.5678109589041096,pos,jaashishranjan, ,1
38,❤️❤️❤️❤️❤️🔥, ,[],❤❤❤❤❤🔥,0.6450366214742091,neu,ahmedmoh7683, ,0
39,🔥hi,hi,['hi'],🔥,0.06989247311827955,neu,akash_rajput.26, ,0
40,😍, ,[],😍,0.6779367825129737,neu,kwbny7292, ,0
